sai,sbi,sci,sa,sb,sc,dist
21,4,17,Run1_C_31,Run1_C_36,Run1_C_26,0.847
10,8,22,Run1_C_33,Run1_C_40,Run1_C_42,0.8609
17,2,11,Run1_C_26,Run1_C_32,Run1_C_29,0.8209
9,22,16,Run1_C_44,Run1_C_42,Run1_C_41,0.3849
16,17,7,Run1_C_41,Run1_C_26,Run1_C_43,2.704
11,18,10,Run1_C_29,Run1_C_34,Run1_C_33,0.1458
18,22,9,Run1_C_34,Run1_C_42,Run1_C_44,0.3528
1,22,9,Run1_C_38,Run1_C_42,Run1_C_44,3.3648
5,22,16,Run1_C_18,Run1_C_42,Run1_C_41,0.3542
5,12,11,Run1_C_18,Run1_C_35,Run1_C_29,0.6792
0,20,7,Run1_C_23,Run1_C_25,Run1_C_43,0.5243
1,7,13,Run1_C_38,Run1_C_43,Run1_C_16,0.3315
9,4,23,Run1_C_44,Run1_C_36,Run1_C_24,2.6453
8,16,19,Run1_C_40,Run1_C_41,Run1_C_22,2.2893
0,20,11,Run1_C_23,Run1_C_25,Run1_C_29,0.6502
10,8,0,Run1_C_33,Run1_C_40,Run1_C_23,0.2102
13,22,17,Run1_C_16,Run1_C_42,Run1_C_26,2.1816
10,17,5,Run1_C_33,Run1_C_26,Run1_C_18,0.9245
14,5,1,Run1_C_45,Run1_C_18,Run1_C_38,1.2527
20,19,7,Run1_C_25,Run1_C_22,Run1_C_43,1.7063
17,3,18,Run1_C_26,Run1_C_12,Run1_C_34,0.7241
9,2,11,Run1_C_44,Run1_C_32,Run1_C_29,0.6229
14,21,17,Run1_C_45,Run1_C_31,Run1_C_26,0.701
14,22,17,Run1_C_45,Run1_C_42,Run1_C_26,0.7903
10,17,12,Run1_C_33,Run1_C_26,Run1_C_35,0.5385
8,15,18,Run1_C_40,Run1_C_21,Run1_C_34,0.072
9,19,7,Run1_C_44,Run1_C_22,Run1_C_43,0.3227
9,4,12,Run1_C_44,Run1_C_36,Run1_C_35,1.7479
16,23,22,Run1_C_41,Run1_C_24,Run1_C_42,1.6521
9,20,7,Run1_C_44,Run1_C_25,Run1_C_43,0.2939
8,3,21,Run1_C_40,Run1_C_12,Run1_C_31,0.2524
7,22,13,Run1_C_43,Run1_C_42,Run1_C_16,2.3131
