sai,sbi,sci,sa,sb,sc,dist
5,4,6,Run1_C_9,Run1_C_14,Run1_C_19,8.5375
10,4,5,Run1_C_10,Run1_C_14,Run1_C_9,3.5668
8,0,3,Run1_C_12,Run1_C_13,Run1_C_18,19.2837
10,1,5,Run1_C_10,Run1_C_15,Run1_C_9,4.3717
8,3,1,Run1_C_12,Run1_C_18,Run1_C_15,13.631
6,1,2,Run1_C_19,Run1_C_15,Run1_C_17,7.8907
8,0,9,Run1_C_12,Run1_C_13,Run1_C_16,41.0166
6,0,10,Run1_C_19,Run1_C_13,Run1_C_10,11.8854
10,4,3,Run1_C_10,Run1_C_14,Run1_C_18,21.0599
10,5,2,Run1_C_10,Run1_C_9,Run1_C_17,26.1008
6,0,4,Run1_C_19,Run1_C_13,Run1_C_14,13.2161
8,5,9,Run1_C_12,Run1_C_9,Run1_C_16,11.1217
2,9,10,Run1_C_17,Run1_C_16,Run1_C_10,25.4316
6,3,8,Run1_C_19,Run1_C_18,Run1_C_12,19.885
6,10,9,Run1_C_19,Run1_C_10,Run1_C_16,9.4568
8,3,5,Run1_C_12,Run1_C_18,Run1_C_9,9.392
6,8,2,Run1_C_19,Run1_C_12,Run1_C_17,21.046
6,3,9,Run1_C_19,Run1_C_18,Run1_C_16,41.3312
6,8,5,Run1_C_19,Run1_C_12,Run1_C_9,9.3348
8,0,2,Run1_C_12,Run1_C_13,Run1_C_17,40.3203
10,4,9,Run1_C_10,Run1_C_14,Run1_C_16,30.4765
5,3,9,Run1_C_9,Run1_C_18,Run1_C_16,12.0025
10,4,8,Run1_C_10,Run1_C_14,Run1_C_12,21.9437
10,3,9,Run1_C_10,Run1_C_18,Run1_C_16,9.4166
5,1,2,Run1_C_9,Run1_C_15,Run1_C_17,21.1502
5,4,2,Run1_C_9,Run1_C_14,Run1_C_17,19.7439
8,0,6,Run1_C_12,Run1_C_13,Run1_C_19,19.3159
5,1,3,Run1_C_9,Run1_C_15,Run1_C_18,9.6429
1,4,9,Run1_C_15,Run1_C_14,Run1_C_16,43.6155
5,1,9,Run1_C_9,Run1_C_15,Run1_C_16,21.6454
2,9,0,Run1_C_17,Run1_C_16,Run1_C_13,25.9028
1,4,2,Run1_C_15,Run1_C_14,Run1_C_17,42.407
6,3,4,Run1_C_19,Run1_C_18,Run1_C_14,33.1333
8,4,2,Run1_C_12,Run1_C_14,Run1_C_17,6.4631
10,5,0,Run1_C_10,Run1_C_9,Run1_C_13,15.7774
0,5,2,Run1_C_13,Run1_C_9,Run1_C_17,10.6573
10,5,6,Run1_C_10,Run1_C_9,Run1_C_19,14.9579
8,4,9,Run1_C_12,Run1_C_14,Run1_C_16,7.6716
0,4,2,Run1_C_13,Run1_C_14,Run1_C_17,6.1957
10,5,9,Run1_C_10,Run1_C_9,Run1_C_16,26.9097
10,1,2,Run1_C_10,Run1_C_15,Run1_C_17,30.4724
6,0,5,Run1_C_19,Run1_C_13,Run1_C_9,9.3904
8,0,5,Run1_C_12,Run1_C_13,Run1_C_9,29.5258
8,0,4,Run1_C_12,Run1_C_13,Run1_C_14,33.4496
5,1,6,Run1_C_9,Run1_C_15,Run1_C_19,9.6734
2,9,8,Run1_C_17,Run1_C_16,Run1_C_12,26.404
6,10,2,Run1_C_19,Run1_C_10,Run1_C_17,8.6479
0,3,9,Run1_C_13,Run1_C_18,Run1_C_16,21.3472
1,3,2,Run1_C_15,Run1_C_18,Run1_C_17,6.8798
0,1,9,Run1_C_13,Run1_C_15,Run1_C_16,7.4836
8,10,2,Run1_C_12,Run1_C_10,Run1_C_17,7.7238
0,3,4,Run1_C_13,Run1_C_18,Run1_C_14,13.7106
5,1,0,Run1_C_9,Run1_C_15,Run1_C_13,10.4929
0,3,5,Run1_C_13,Run1_C_18,Run1_C_9,9.0065
6,3,5,Run1_C_19,Run1_C_18,Run1_C_9,29.277
2,9,6,Run1_C_17,Run1_C_16,Run1_C_19,26.0
6,3,2,Run1_C_19,Run1_C_18,Run1_C_17,40.6765
10,1,6,Run1_C_10,Run1_C_15,Run1_C_19,21.8246
1,4,8,Run1_C_15,Run1_C_14,Run1_C_12,35.4091
8,5,2,Run1_C_12,Run1_C_9,Run1_C_17,10.6265
10,5,3,Run1_C_10,Run1_C_9,Run1_C_18,14.9274
10,1,0,Run1_C_10,Run1_C_15,Run1_C_13,22.4013
6,0,1,Run1_C_19,Run1_C_13,Run1_C_15,13.0069
0,3,2,Run1_C_13,Run1_C_18,Run1_C_17,20.4059
8,0,10,Run1_C_12,Run1_C_13,Run1_C_10,31.778
10,5,8,Run1_C_10,Run1_C_9,Run1_C_12,15.8081
5,1,8,Run1_C_9,Run1_C_15,Run1_C_12,10.5236
2,9,1,Run1_C_17,Run1_C_16,Run1_C_15,25.7959
4,3,9,Run1_C_14,Run1_C_18,Run1_C_16,7.6516
8,3,4,Run1_C_12,Run1_C_18,Run1_C_14,14.0962
10,3,2,Run1_C_10,Run1_C_18,Run1_C_17,8.6076
8,1,9,Run1_C_12,Run1_C_15,Run1_C_16,8.2773
2,9,4,Run1_C_17,Run1_C_16,Run1_C_14,25.4951
0,3,10,Run1_C_13,Run1_C_18,Run1_C_10,11.5722
6,4,2,Run1_C_19,Run1_C_14,Run1_C_17,7.3807
5,4,9,Run1_C_9,Run1_C_14,Run1_C_16,20.5095
10,1,8,Run1_C_10,Run1_C_15,Run1_C_12,22.7486
6,5,2,Run1_C_19,Run1_C_9,Run1_C_17,11.4768
10,4,6,Run1_C_10,Run1_C_14,Run1_C_19,21.0196
8,10,9,Run1_C_12,Run1_C_10,Run1_C_16,8.5328
8,3,2,Run1_C_12,Run1_C_18,Run1_C_17,20.7915
5,4,0,Run1_C_9,Run1_C_14,Run1_C_13,9.357
8,6,9,Run1_C_12,Run1_C_19,Run1_C_16,21.3584
8,6,4,Run1_C_12,Run1_C_19,Run1_C_14,13.1604
6,3,10,Run1_C_19,Run1_C_18,Run1_C_10,31.8026
