sai,sbi,sci,sa,sb,sc,dist
0,5,4,Run1_C_31,Run1_C_29,Run1_C_43,0.5
5,6,13,Run1_C_29,Run1_C_17,Run1_C_41,2.0206
3,15,8,Run1_C_36,Run1_C_28,Run1_C_27,1.0
9,15,18,Run1_C_39,Run1_C_28,Run1_C_14,0.5774
5,6,11,Run1_C_29,Run1_C_17,Run1_C_34,1.2041
0,5,13,Run1_C_31,Run1_C_29,Run1_C_41,0.3333
11,15,18,Run1_C_34,Run1_C_28,Run1_C_14,0.5774
12,13,2,Run1_C_33,Run1_C_41,Run1_C_16,0.0607
2,0,1,Run1_C_16,Run1_C_31,Run1_C_20,1.7321
3,15,13,Run1_C_36,Run1_C_28,Run1_C_41,1.4604
3,6,8,Run1_C_36,Run1_C_17,Run1_C_27,1.4142
11,18,6,Run1_C_34,Run1_C_14,Run1_C_17,0.5
5,6,4,Run1_C_29,Run1_C_17,Run1_C_43,0.5
11,16,6,Run1_C_34,Run1_C_42,Run1_C_17,0.9129
1,3,11,Run1_C_20,Run1_C_36,Run1_C_34,0.2887
9,6,12,Run1_C_39,Run1_C_17,Run1_C_33,1.3536
12,13,5,Run1_C_33,Run1_C_41,Run1_C_29,0.2041
11,0,4,Run1_C_34,Run1_C_31,Run1_C_43,0.5
5,16,0,Run1_C_29,Run1_C_42,Run1_C_31,0.5774
0,16,4,Run1_C_31,Run1_C_42,Run1_C_43,0.5
12,13,11,Run1_C_33,Run1_C_41,Run1_C_34,0.2416
5,6,2,Run1_C_29,Run1_C_17,Run1_C_16,0.6667
10,5,13,Run1_C_38,Run1_C_29,Run1_C_41,0.0858
0,15,18,Run1_C_31,Run1_C_28,Run1_C_14,1.2041
1,13,10,Run1_C_20,Run1_C_41,Run1_C_38,1.0
5,15,13,Run1_C_29,Run1_C_28,Run1_C_41,1.673
12,5,10,Run1_C_33,Run1_C_29,Run1_C_38,1.0
11,16,13,Run1_C_34,Run1_C_42,Run1_C_41,1.5811
5,16,13,Run1_C_29,Run1_C_42,Run1_C_41,1.3333
5,6,0,Run1_C_29,Run1_C_17,Run1_C_31,0.3876
3,6,12,Run1_C_36,Run1_C_17,Run1_C_33,1.1547
2,6,13,Run1_C_16,Run1_C_17,Run1_C_41,1.4201
1,13,6,Run1_C_20,Run1_C_41,Run1_C_17,1.1365
5,16,4,Run1_C_29,Run1_C_42,Run1_C_43,0.5
1,3,12,Run1_C_20,Run1_C_36,Run1_C_33,1.1547
2,16,4,Run1_C_16,Run1_C_42,Run1_C_43,0.5
2,6,8,Run1_C_16,Run1_C_17,Run1_C_27,1.4142
9,15,13,Run1_C_39,Run1_C_28,Run1_C_41,2.0
13,0,1,Run1_C_41,Run1_C_31,Run1_C_20,1.1547
1,3,0,Run1_C_20,Run1_C_36,Run1_C_31,0.2071
2,16,12,Run1_C_16,Run1_C_42,Run1_C_33,0.8944
16,18,11,Run1_C_42,Run1_C_14,Run1_C_34,0.2357
12,13,9,Run1_C_33,Run1_C_41,Run1_C_39,2.2361
10,18,0,Run1_C_38,Run1_C_14,Run1_C_31,1.0
11,16,5,Run1_C_34,Run1_C_42,Run1_C_29,0.279
12,13,16,Run1_C_33,Run1_C_41,Run1_C_42,0.2236
11,0,6,Run1_C_34,Run1_C_31,Run1_C_17,1.0
11,0,9,Run1_C_34,Run1_C_31,Run1_C_39,0.6464
5,18,9,Run1_C_29,Run1_C_14,Run1_C_39,0.5
6,15,1,Run1_C_17,Run1_C_28,Run1_C_20,1.1547
5,6,16,Run1_C_29,Run1_C_17,Run1_C_42,0.866
1,12,16,Run1_C_20,Run1_C_33,Run1_C_42,0.0184
0,16,1,Run1_C_31,Run1_C_42,Run1_C_20,1.1547
0,15,10,Run1_C_31,Run1_C_28,Run1_C_38,1.0
11,2,1,Run1_C_34,Run1_C_16,Run1_C_20,1.118
11,15,1,Run1_C_34,Run1_C_28,Run1_C_20,1.1547
11,2,12,Run1_C_34,Run1_C_16,Run1_C_33,1.118
3,6,10,Run1_C_36,Run1_C_17,Run1_C_38,1.0
5,15,18,Run1_C_29,Run1_C_28,Run1_C_14,0.2357
15,6,18,Run1_C_28,Run1_C_17,Run1_C_14,0.5244
12,4,1,Run1_C_33,Run1_C_43,Run1_C_20,0.9142
16,4,1,Run1_C_42,Run1_C_43,Run1_C_20,0.9142
11,6,4,Run1_C_34,Run1_C_17,Run1_C_43,0.5
11,9,16,Run1_C_34,Run1_C_39,Run1_C_42,1.0
2,0,18,Run1_C_16,Run1_C_31,Run1_C_14,0.866
16,18,9,Run1_C_42,Run1_C_14,Run1_C_39,0.2357
9,15,11,Run1_C_39,Run1_C_28,Run1_C_34,0.6464
6,15,8,Run1_C_17,Run1_C_28,Run1_C_27,1.0
11,0,15,Run1_C_34,Run1_C_31,Run1_C_28,0.6464
11,12,3,Run1_C_34,Run1_C_33,Run1_C_36,0.2887
3,5,13,Run1_C_36,Run1_C_29,Run1_C_41,1.4604
2,16,13,Run1_C_16,Run1_C_42,Run1_C_41,0.8565
11,9,1,Run1_C_34,Run1_C_39,Run1_C_20,1.3536
2,6,18,Run1_C_16,Run1_C_17,Run1_C_14,0.5244
3,15,18,Run1_C_36,Run1_C_28,Run1_C_14,0.7071
2,5,13,Run1_C_16,Run1_C_29,Run1_C_41,1.3333
10,18,3,Run1_C_38,Run1_C_14,Run1_C_36,1.0
2,15,10,Run1_C_16,Run1_C_28,Run1_C_38,1.0
11,16,1,Run1_C_34,Run1_C_42,Run1_C_20,1.8073
5,3,12,Run1_C_29,Run1_C_36,Run1_C_33,0.9142
2,5,18,Run1_C_16,Run1_C_29,Run1_C_14,0.7071
0,3,13,Run1_C_31,Run1_C_36,Run1_C_41,0.3333
2,0,10,Run1_C_16,Run1_C_31,Run1_C_38,1.0
9,15,0,Run1_C_39,Run1_C_28,Run1_C_31,0.6464
11,16,4,Run1_C_34,Run1_C_42,Run1_C_43,0.5
3,6,18,Run1_C_36,Run1_C_17,Run1_C_14,0.7071
5,16,9,Run1_C_29,Run1_C_42,Run1_C_39,0.5
0,6,13,Run1_C_31,Run1_C_17,Run1_C_41,0.3333
0,9,18,Run1_C_31,Run1_C_39,Run1_C_14,0.5774
4,6,1,Run1_C_43,Run1_C_17,Run1_C_20,0.9142
5,4,1,Run1_C_29,Run1_C_43,Run1_C_20,0.9142
12,0,1,Run1_C_33,Run1_C_31,Run1_C_20,1.0
2,5,1,Run1_C_16,Run1_C_29,Run1_C_20,0.866
0,15,1,Run1_C_31,Run1_C_28,Run1_C_20,1.1547
2,0,6,Run1_C_16,Run1_C_31,Run1_C_17,0.3876
0,16,12,Run1_C_31,Run1_C_42,Run1_C_33,1.0
0,6,1,Run1_C_31,Run1_C_17,Run1_C_20,1.0
0,6,4,Run1_C_31,Run1_C_17,Run1_C_43,0.5
12,13,3,Run1_C_33,Run1_C_41,Run1_C_36,1.8021
5,15,8,Run1_C_29,Run1_C_28,Run1_C_27,1.0
2,0,4,Run1_C_16,Run1_C_31,Run1_C_43,0.5
11,13,3,Run1_C_34,Run1_C_41,Run1_C_36,0.2887
6,15,3,Run1_C_17,Run1_C_28,Run1_C_36,0.3416
5,9,1,Run1_C_29,Run1_C_39,Run1_C_20,1.4142
2,4,1,Run1_C_16,Run1_C_43,Run1_C_20,0.9142
2,9,6,Run1_C_16,Run1_C_39,Run1_C_17,0.5774
0,15,16,Run1_C_31,Run1_C_28,Run1_C_42,0.9107
11,16,2,Run1_C_34,Run1_C_42,Run1_C_16,0.6893
2,3,18,Run1_C_16,Run1_C_36,Run1_C_14,0.7071
5,6,18,Run1_C_29,Run1_C_17,Run1_C_14,0.7071
0,15,8,Run1_C_31,Run1_C_28,Run1_C_27,1.0
12,0,3,Run1_C_33,Run1_C_31,Run1_C_36,0.2071
11,15,16,Run1_C_34,Run1_C_28,Run1_C_42,0.9107
2,18,16,Run1_C_16,Run1_C_14,Run1_C_42,0.5
5,18,11,Run1_C_29,Run1_C_14,Run1_C_34,0.5
11,5,1,Run1_C_34,Run1_C_29,Run1_C_20,0.7959
10,18,8,Run1_C_38,Run1_C_14,Run1_C_27,1.0
3,9,12,Run1_C_36,Run1_C_39,Run1_C_33,1.1547
0,9,16,Run1_C_31,Run1_C_39,Run1_C_42,0.9107
12,6,10,Run1_C_33,Run1_C_17,Run1_C_38,1.0
11,2,4,Run1_C_34,Run1_C_16,Run1_C_43,0.5
0,6,10,Run1_C_31,Run1_C_17,Run1_C_38,1.0
2,6,1,Run1_C_16,Run1_C_17,Run1_C_20,0.8944
5,6,1,Run1_C_29,Run1_C_17,Run1_C_20,2.0206
5,15,10,Run1_C_29,Run1_C_28,Run1_C_38,1.0
16,6,1,Run1_C_42,Run1_C_17,Run1_C_20,0.7638
5,6,8,Run1_C_29,Run1_C_17,Run1_C_27,1.0
3,5,8,Run1_C_36,Run1_C_29,Run1_C_27,1.0
2,15,8,Run1_C_16,Run1_C_28,Run1_C_27,1.0
11,0,5,Run1_C_34,Run1_C_31,Run1_C_29,1.0
2,3,10,Run1_C_16,Run1_C_36,Run1_C_38,1.0
10,18,6,Run1_C_38,Run1_C_14,Run1_C_17,1.0
11,4,1,Run1_C_34,Run1_C_43,Run1_C_20,0.9142
1,13,11,Run1_C_20,Run1_C_41,Run1_C_34,0.2236
12,13,6,Run1_C_33,Run1_C_41,Run1_C_17,0.2236
3,5,10,Run1_C_36,Run1_C_29,Run1_C_38,1.0
3,9,13,Run1_C_36,Run1_C_39,Run1_C_41,1.1547
11,0,3,Run1_C_34,Run1_C_31,Run1_C_36,0.7071
5,16,12,Run1_C_29,Run1_C_42,Run1_C_33,0.5375
12,13,15,Run1_C_33,Run1_C_41,Run1_C_28,2.0
5,15,1,Run1_C_29,Run1_C_28,Run1_C_20,1.4142
12,6,16,Run1_C_33,Run1_C_17,Run1_C_42,0.1491
0,4,1,Run1_C_31,Run1_C_43,Run1_C_20,0.9142
5,6,12,Run1_C_29,Run1_C_17,Run1_C_33,1.2041
11,5,4,Run1_C_34,Run1_C_29,Run1_C_43,0.5
2,10,13,Run1_C_16,Run1_C_38,Run1_C_41,0.0858
11,0,1,Run1_C_34,Run1_C_31,Run1_C_20,2.0
0,5,8,Run1_C_31,Run1_C_29,Run1_C_27,1.0
5,16,1,Run1_C_29,Run1_C_42,Run1_C_20,0.866
9,15,3,Run1_C_39,Run1_C_28,Run1_C_36,0.5
11,2,13,Run1_C_34,Run1_C_16,Run1_C_41,1.0607
15,6,13,Run1_C_28,Run1_C_17,Run1_C_41,1.673
0,5,18,Run1_C_31,Run1_C_29,Run1_C_14,0.2357
5,9,13,Run1_C_29,Run1_C_39,Run1_C_41,1.1547
