sai,sbi,sci,sa,sb,sc,dist
6,4,2,Run1_C_10,Run1_C_13,Run1_C_6,1.2649
6,4,0,Run1_C_10,Run1_C_13,Run1_C_4,1.9649
6,4,7,Run1_C_10,Run1_C_13,Run1_C_9,0.6325
7,4,0,Run1_C_9,Run1_C_13,Run1_C_4,1.3325
0,2,7,Run1_C_4,Run1_C_6,Run1_C_9,0.3
6,4,5,Run1_C_10,Run1_C_13,Run1_C_7,0.7453
2,5,6,Run1_C_6,Run1_C_7,Run1_C_10,0.5774
7,4,5,Run1_C_9,Run1_C_13,Run1_C_7,0.6902
0,2,4,Run1_C_4,Run1_C_6,Run1_C_13,0.3
3,6,7,Run1_C_12,Run1_C_10,Run1_C_9,1.2649
0,5,3,Run1_C_4,Run1_C_7,Run1_C_12,0.2403
3,4,5,Run1_C_12,Run1_C_13,Run1_C_7,1.9551
2,5,7,Run1_C_6,Run1_C_7,Run1_C_9,1.097
3,6,5,Run1_C_12,Run1_C_10,Run1_C_7,1.3778
0,2,3,Run1_C_4,Run1_C_6,Run1_C_12,0.3
2,5,3,Run1_C_6,Run1_C_7,Run1_C_12,1.097
0,2,6,Run1_C_4,Run1_C_6,Run1_C_10,0.3
3,4,0,Run1_C_12,Run1_C_13,Run1_C_4,2.5974
3,6,0,Run1_C_12,Run1_C_10,Run1_C_4,2.5974
2,5,0,Run1_C_6,Run1_C_7,Run1_C_4,0.797
3,4,2,Run1_C_12,Run1_C_13,Run1_C_6,1.8974
3,7,0,Run1_C_12,Run1_C_9,Run1_C_4,1.3325
0,5,4,Run1_C_4,Run1_C_7,Run1_C_13,0.2403
3,4,7,Run1_C_12,Run1_C_13,Run1_C_9,1.2649
7,6,0,Run1_C_9,Run1_C_10,Run1_C_4,1.3325
2,5,4,Run1_C_6,Run1_C_7,Run1_C_13,1.097
6,5,0,Run1_C_10,Run1_C_7,Run1_C_4,0.337
