names	Run1_C_5	Run1_C_7	Run1_C_12	Run1_C_13	Run1_C_14	Run1_C_15	Run1_C_16	Run1_C_17	Run1_C_18	Run1_C_20	Run1_C_21	root
LOC_1	19	19	19	18	20	19	18	19	17	19	19	19
LOC_2	21	19	19	21	22	22	22	22	21	21	21	20
LOC_3	7	7	7	7	7	7	7	7	7	7	7	7
LOC_4	7	7	7	7	7	7	7	7	7	7	7	7
LOC_5	7	7	8	8	7	7	7	7	7	7	7	7
LOC_6	18	15	19	19	19	19	15	16	16	16	17	16
LOC_7	13	13	13	13	13	13	14	13	14	15	15	13
LOC_8	19	21	20	20	21	21	21	21	18	22	20	22
LOC_9	15	16	16	16	15	15	15	15	15	15	15	15
LOC_10	17	17	17	17	17	17	18	19	19	18	18	17
LOC_11	23	23	23	24	23	22	24	24	24	24	24	23
LOC_12	17	18	17	17	17	17	18	19	18	18	18	17
LOC_13	17	17	17	17	16	16	18	18	18	19	19	17
LOC_14	18	18	19	19	18	18	17	17	17	16	17	18
LOC_15	25	27	29	28	27	27	27	27	25	26	22	27
LOC_16	14	14	17	13	14	13	15	14	14	14	14	14
LOC_17	15	17	15	15	15	15	15	15	15	16	17	15
LOC_18	24	23	25	23	24	22	24	24	23	23	24	23
LOC_19	20	23	21	21	20	20	23	23	23	25	23	22
LOC_20	14	15	14	14	14	14	15	15	15	17	17	15
LOC_21	14	13	14	13	14	14	12	12	13	13	13	13
LOC_22	21	20	19	19	19	19	20	21	20	21	21	21
LOC_23	16	16	16	16	15	16	17	17	17	16	16	16
LOC_24	22	23	23	23	23	24	20	21	21	23	22	23
LOC_25	22	22	22	23	22	22	21	20	22	22	21	22
LOC_26	15	15	15	16	15	15	15	15	15	15	15	15
LOC_27	17	17	16	17	16	16	18	18	17	17	17	17
LOC_28	22	22	23	22	22	22	22	22	21	21	21	21
LOC_29	21	25	24	28	24	24	27	28	26	32	31	25
LOC_30	19	18	19	19	19	19	16	16	17	19	19	19
LOC_31	24	28	26	26	25	25	24	26	30	28	27	26
LOC_32	19	20	20	20	20	20	21	21	21	23	22	20
