names	Run1_C_14	Run1_C_16	Run1_C_17	Run1_C_18	Run1_C_20	Run1_C_22	Run1_C_24	Run1_C_25	Run1_C_26	Run1_C_27	Run1_C_28	Run1_C_29	Run1_C_31	Run1_C_33	Run1_C_34	Run1_C_36	Run1_C_38	Run1_C_39	Run1_C_40	Run1_C_41	Run1_C_42	Run1_C_43	root
LOC_1	20	19	19	19	20	19	19	19	21	21	19	19	19	20	19	19	20	20	23	23	18	19	19
LOC_2	21	25	21	22	21	20	20	21	20	20	22	21	21	20	23	24	23	21	21	21	24	24	20
LOC_3	7	8	8	8	7	7	7	7	7	7	8	8	8	7	8	8	7	7	7	7	8	8	7
LOC_4	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
LOC_5	7	7	9	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7
LOC_6	18	20	20	19	16	16	16	15	15	15	20	20	21	17	20	20	17	17	17	17	20	20	16
LOC_7	13	13	13	13	15	13	13	13	14	15	13	13	13	14	13	13	13	13	14	14	14	14	13
LOC_8	21	21	21	21	23	22	22	22	21	21	21	21	21	23	21	21	21	21	22	22	21	21	22
LOC_9	14	15	15	15	15	14	14	14	15	16	15	14	15	15	15	15	15	15	14	15	14	14	15
LOC_10	17	17	18	18	16	16	16	16	16	14	18	18	17	16	15	15	17	17	16	16	15	15	17
