names	Run1_C_16	Run1_C_29	Run1_C_41	Run1_C_44	Run1_C_45	Run1_C_51	Run1_C_53	Run1_C_54	Run1_C_59	Run1_C_60	Run1_C_63	Run1_C_65	Run1_C_66	Run1_C_67	Run1_C_70	Run1_C_71	Run1_C_77	Run1_C_78	Run1_C_84	Run1_C_87	Run1_C_88	Run1_C_90	Run1_C_91	Run1_C_92	Run1_C_93	Run1_C_95	Run1_C_97	Run1_C_98	Run1_C_99	Run1_C_101	Run1_C_103	Run1_C_106	Run1_C_107	Run1_C_108	Run1_C_109	Run1_C_110	Run1_C_111	Run1_C_113	Run1_C_115	Run1_C_117	Run1_C_119	Run1_C_120	Run1_C_123	Run1_C_125	Run1_C_126	Run1_C_127	Run1_C_130	Run1_C_131	Run1_C_132	Run1_C_135	Run1_C_137	Run1_C_138	Run1_C_140	Run1_C_141	Run1_C_144	Run1_C_145	Run1_C_146	Run1_C_147	Run1_C_149	Run1_C_152	Run1_C_154	Run1_C_156	Run1_C_158	Run1_C_159	Run1_C_160	Run1_C_161	Run1_C_163	Run1_C_164	Run1_C_165	Run1_C_166	Run1_C_167	Run1_C_168	Run1_C_169	Run1_C_170	Run1_C_171	Run1_C_172	Run1_C_173	Run1_C_174	Run1_C_175	Run1_C_176	Run1_C_177	Run1_C_178	Run1_C_181	Run1_C_182	Run1_C_183	Run1_C_184	Run1_C_185	Run1_C_186	Run1_C_187	Run1_C_188	Run1_C_190	Run1_C_191	Run1_C_192	Run1_C_193	Run1_C_194	Run1_C_195	Run1_C_196	Run1_C_197	Run1_C_198	Run1_C_199	root
LOC_1	NaN	NaN	18	NaN	NaN	NaN	19	NaN	NaN	18	19	NaN	19	19	19	19	19	20	19	NaN	19	19	19	19	19	19	19	19	19	18	NaN	19	NaN	19	NaN	NaN	19	19	NaN	NaN	NaN	NaN	19	18	NaN	18	NaN	19	19	NaN	18	18	NaN	NaN	NaN	NaN	19	19	NaN	19	19	19	NaN	NaN	19	NaN	NaN	NaN	NaN	19	19	20	20	NaN	NaN	19	19	NaN	19	18	18	19	19	19	19	19	19	NaN	19	18	18	NaN	NaN	19	19	NaN	NaN	NaN	19	19	19
LOC_2	20	21	20	20	20	NaN	20	20	NaN	NaN	21	20	20	20	NaN	20	NaN	19	20	20	20	NaN	20	NaN	20	NaN	NaN	NaN	20	19	20	NaN	20	20	NaN	20	NaN	20	20	NaN	20	19	21	NaN	NaN	19	20	NaN	NaN	NaN	19	19	20	NaN	20	NaN	20	20	20	20	NaN	NaN	19	19	21	NaN	20	20	20	20	20	20	20	20	20	20	20	20	NaN	NaN	NaN	NaN	20	20	20	21	21	20	20	20	19	20	NaN	NaN	NaN	20	NaN	20	21	21	NaN
LOC_3	7	7	7	NaN	7	7	7	7	NaN	NaN	NaN	7	7	7	7	7	NaN	7	7	7	7	NaN	7	7	NaN	7	NaN	7	7	7	NaN	7	7	7	7	7	7	7	NaN	7	7	7	7	7	NaN	NaN	7	NaN	7	7	7	NaN	NaN	7	NaN	7	NaN	NaN	NaN	NaN	7	7	7	NaN	NaN	7	NaN	7	7	7	7	7	7	NaN	7	7	7	7	7	NaN	7	7	7	7	NaN	7	7	7	7	7	7	NaN	NaN	7	7	7	7	7	7	NaN	NaN
LOC_4	7	NaN	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	NaN	7	7	7	7	7	7	7	7	7	7	7	7	NaN	8	7	7	7	7	7	7	7	7	7	7	7	7	NaN	7	7	7	7	7	7	8	NaN	7	7	7	7	7	7	7	7	7	7	7	8	8	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
LOC_5	NaN	NaN	NaN	NaN	7	7	NaN	NaN	7	NaN	7	7	7	7	NaN	7	7	7	7	7	NaN	7	7	7	NaN	NaN	7	7	7	7	NaN	NaN	NaN	7	7	NaN	NaN	NaN	NaN	NaN	NaN	7	7	7	NaN	NaN	NaN	7	7	NaN	7	7	7	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	7	7	NaN	7	7	7	7	NaN	7	7	NaN	NaN	NaN	7	NaN	NaN	7	NaN	7	NaN	7	NaN	7	NaN	NaN	NaN	7	7	7	7	7	NaN	NaN	7	NaN	7	7	7	7	7
LOC_6	NaN	16	NaN	NaN	17	17	NaN	17	16	16	16	16	16	16	NaN	16	NaN	NaN	NaN	16	NaN	NaN	17	17	NaN	NaN	NaN	17	NaN	16	17	16	16	16	NaN	17	NaN	NaN	16	NaN	16	16	16	16	16	NaN	17	NaN	NaN	16	16	NaN	16	NaN	NaN	NaN	17	17	16	16	NaN	16	16	NaN	16	16	NaN	16	16	NaN	NaN	NaN	16	NaN	NaN	NaN	NaN	NaN	NaN	16	NaN	16	NaN	16	NaN	16	NaN	17	NaN	16	NaN	NaN	NaN	NaN	NaN	16	NaN	16	NaN	16	16
LOC_7	13	13	NaN	NaN	NaN	13	NaN	NaN	13	13	13	NaN	NaN	13	13	13	13	13	NaN	13	13	13	NaN	13	13	13	NaN	NaN	12	NaN	13	13	NaN	13	13	13	13	NaN	13	NaN	13	13	13	13	13	NaN	NaN	NaN	13	13	NaN	13	13	NaN	NaN	NaN	13	13	13	NaN	14	NaN	13	13	13	13	NaN	13	13	13	NaN	13	13	13	13	NaN	13	13	NaN	NaN	NaN	13	13	13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14	NaN	13	13	NaN	13	NaN	13	NaN	13
LOC_8	22	22	22	22	22	22	22	22	22	22	22	22	22	22	23	22	22	NaN	22	22	NaN	NaN	22	22	22	22	22	22	NaN	NaN	22	22	NaN	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	NaN	23	22	22	22	22	22	23	23	22	22	22	NaN	22	22	22	NaN	22	22	22	NaN	22	22	22	22	22	22	22	22	NaN	22	22	22	NaN	22	NaN	22	22	22	22	22	22	NaN	22	NaN	23	23	22	22	22	22	NaN
LOC_9	15	NaN	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	16	16	16	15	NaN	15	15	16	16	15	15	15	15	15	15	15	NaN	15	17	15	15	15	15	15	15	15	15	15	15	NaN	15	NaN	NaN	15	15	15	NaN	15	NaN	15	15	15	14	15	15	15	15	15	15	15	15	15	15	NaN	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
LOC_10	NaN	NaN	17	NaN	17	NaN	NaN	17	17	17	17	17	17	17	NaN	17	NaN	17	NaN	NaN	NaN	18	NaN	17	17	17	17	17	17	17	NaN	17	NaN	NaN	NaN	17	17	17	NaN	NaN	17	17	NaN	NaN	17	NaN	17	17	17	NaN	NaN	17	NaN	NaN	NaN	NaN	NaN	17	NaN	NaN	NaN	17	17	17	NaN	NaN	NaN	17	NaN	NaN	17	17	NaN	17	NaN	17	NaN	17	17	17	17	17	NaN	17	17	17	17	NaN	17	NaN	NaN	NaN	17	17	17	17	NaN	NaN	NaN	NaN	17
