names	Run1_C_7	Run1_C_12	Run1_C_13	Run1_C_14	Run1_C_15	Run1_C_16	Run1_C_17	Run1_C_18	Run1_C_20	Run1_C_21	Run1_C_22	Run1_C_23	root
LOC_1	19	19	18	20	19	18	19	17	19	19	19	19	19
LOC_2	19	19	21	22	22	22	22	21	21	21	21	21	20
LOC_3	7	7	7	7	7	7	7	7	7	7	7	7	7
LOC_4	7	7	7	7	7	7	7	7	7	7	8	7	7
LOC_5	7	8	8	7	7	7	7	7	7	7	7	7	7
LOC_6	15	19	19	19	19	15	16	16	16	17	18	18	16
LOC_7	13	13	13	13	13	14	13	14	15	15	13	13	13
LOC_8	21	20	20	21	21	21	21	18	22	20	19	19	22
LOC_9	16	16	16	15	15	15	15	15	15	15	15	14	15
LOC_10	17	17	17	17	17	18	19	19	18	18	19	17	17
LOC_11	23	23	24	23	22	24	24	24	24	24	23	23	23
LOC_12	18	17	17	17	17	18	19	18	18	18	19	15	17
LOC_13	17	17	17	16	16	18	18	18	19	19	18	17	17
LOC_14	18	19	19	18	18	17	17	17	16	17	18	17	18
LOC_15	27	29	28	27	27	27	27	25	26	22	25	25	27
LOC_16	14	17	13	14	13	15	14	14	14	14	14	14	14
LOC_17	17	15	15	15	15	15	15	15	16	17	15	17	15
LOC_18	23	25	23	24	22	24	24	23	23	24	24	24	23
LOC_19	23	21	21	20	20	23	23	23	25	23	20	20	22
LOC_20	15	14	14	14	14	15	15	15	17	17	14	15	15
LOC_21	13	14	13	14	14	12	12	13	13	13	14	14	13
LOC_22	20	19	19	19	19	20	21	20	21	21	24	22	21
LOC_23	16	16	16	15	16	17	17	17	16	16	16	16	16
LOC_24	23	23	23	23	24	20	21	21	23	22	22	23	23
LOC_25	22	22	23	22	22	21	20	22	22	21	22	22	22
LOC_26	15	15	16	15	15	15	15	15	15	15	15	15	15
LOC_27	17	16	17	16	16	18	18	17	17	17	18	17	17
LOC_28	22	23	22	22	22	22	22	21	21	21	22	22	21
LOC_29	25	24	28	24	24	27	28	26	32	31	21	22	25
LOC_30	18	19	19	19	19	16	16	17	19	19	19	19	19
LOC_31	28	26	26	25	25	24	26	30	28	27	25	24	26
LOC_32	20	20	20	20	20	21	21	21	23	22	19	19	20
LOC_33	15	14	15	15	16	15	15	15	15	15	15	17	15
LOC_34	14	15	15	15	15	14	14	14	14	14	15	15	14
LOC_35	18	20	20	20	19	18	18	18	17	18	22	21	19
LOC_36	21	21	21	21	22	20	19	18	18	18	21	21	20
LOC_37	20	19	20	20	20	21	21	20	22	21	20	20	21
LOC_38	16	16	16	15	17	16	16	16	15	15	18	16	16
LOC_39	19	20	20	20	22	20	20	19	20	20	20	20	20
LOC_40	15	15	15	15	15	13	13	13	13	13	15	15	14
LOC_41	21	20	19	22	20	22	22	21	21	20	20	19	21
LOC_42	21	21	21	21	21	21	22	21	21	23	20	20	21
LOC_43	18	18	18	22	19	18	18	18	20	19	21	21	18
LOC_44	15	18	18	19	19	18	18	18	18	18	20	19	18
LOC_45	18	19	19	18	18	19	19	20	19	19	18	18	18
LOC_46	20	20	21	20	20	20	20	21	22	23	20	20	20
LOC_47	14	15	15	16	15	16	14	14	14	14	15	15	15
LOC_48	17	17	17	16	16	17	17	16	16	16	17	17	17
LOC_49	15	15	15	15	16	15	15	15	14	15	14	15	15
LOC_50	16	17	17	17	17	16	18	15	16	16	15	15	16
LOC_51	21	20	20	20	20	21	21	21	21	21	20	20	20
LOC_52	19	21	19	21	19	18	18	19	20	20	19	19	19
LOC_53	23	23	23	23	24	22	22	20	20	20	22	23	23
LOC_54	20	20	19	19	19	21	20	19	19	19	21	21	20
LOC_55	20	20	20	20	20	19	19	19	19	19	19	20	20
LOC_56	19	18	19	19	19	18	18	19	19	19	19	19	19
LOC_57	22	25	25	23	23	22	22	24	24	23	24	23	23
LOC_58	21	21	21	21	22	21	23	20	20	21	22	21	21
LOC_59	9	9	9	9	9	11	12	11	11	11	9	9	9
LOC_60	21	20	20	20	20	21	21	23	23	22	20	20	20
LOC_61	24	25	26	24	26	24	24	24	24	25	24	25	24
LOC_62	18	20	20	19	19	17	17	16	18	19	22	18	18
LOC_63	20	17	18	17	17	20	22	20	20	22	17	17	17
LOC_64	18	18	18	18	18	16	16	18	18	18	18	19	17
LOC_65	17	16	17	17	17	16	16	17	15	15	17	17	17
LOC_66	21	17	18	19	21	23	23	20	20	20	20	21	21
LOC_67	22	20	21	24	24	23	23	23	23	23	27	25	22
LOC_68	16	16	16	16	16	17	17	16	15	16	16	16	16
LOC_69	22	21	21	19	21	20	20	20	20	19	21	21	21
LOC_70	24	26	25	23	24	22	22	20	20	20	23	25	23
LOC_71	15	18	19	17	17	15	15	17	18	17	16	16	16
LOC_72	20	22	22	21	24	19	20	22	21	20	22	21	20
LOC_73	19	19	19	23	23	19	19	20	20	20	19	19	19
LOC_74	22	20	22	22	22	24	23	22	22	23	23	23	22
LOC_75	23	26	24	26	26	19	19	19	19	19	29	26	23
LOC_76	25	21	22	23	23	20	23	25	25	23	22	22	21
LOC_77	14	14	13	13	13	14	14	15	15	15	16	16	14
LOC_78	22	21	22	21	21	22	22	22	22	22	22	23	22
LOC_79	17	15	15	15	15	15	15	15	16	15	15	15	15
LOC_80	23	22	22	22	22	22	24	23	22	24	28	26	24
LOC_81	16	16	16	16	17	16	16	16	16	16	16	16	16
LOC_82	22	21	22	22	23	22	24	22	23	23	22	25	20
LOC_83	18	19	19	18	18	18	18	18	22	17	18	18	18
LOC_84	16	17	17	15	15	16	16	16	16	18	15	15	16
LOC_85	21	19	19	21	21	22	21	21	21	19	21	22	21
LOC_86	17	16	17	16	17	17	18	17	17	17	16	17	16
LOC_87	19	21	20	20	19	20	20	19	20	19	20	20	20
LOC_88	23	22	23	24	24	23	22	23	22	22	24	25	22
LOC_89	27	30	27	29	29	28	29	29	29	30	28	25	26
LOC_90	19	20	20	20	20	20	20	19	19	20	19	22	20
LOC_91	17	17	17	17	17	20	19	17	18	18	17	17	17
LOC_92	19	20	21	21	21	19	20	18	17	17	17	19	19
LOC_93	12	11	11	11	11	15	15	15	15	15	12	12	12
LOC_94	15	15	15	15	15	15	15	16	18	19	15	15	15
LOC_95	13	13	13	13	13	13	13	16	14	14	14	14	13
LOC_96	21	20	20	22	19	22	21	21	21	21	20	20	20
LOC_97	20	20	20	20	20	20	20	22	20	21	21	20	20
LOC_98	15	15	15	15	15	15	15	15	17	17	15	15	15
LOC_99	17	17	17	16	18	16	16	16	14	15	17	18	16
LOC_100	14	14	14	14	14	14	14	14	18	14	14	14	14
