names	Run1_C_10	Run1_C_14	Run1_C_16	Run1_C_17	Run1_C_21	Run1_C_28	Run1_C_29	Run1_C_30	Run1_C_31	Run1_C_32	Run1_C_33	Run1_C_34	Run1_C_35	Run1_C_36	Run1_C_38	Run1_C_39	Run1_C_40	Run1_C_41	Run1_C_42	Run1_C_43	Run1_C_44	Run1_C_45	Run1_C_46	Run1_C_47	root
LOC_1	20/22/0.5	21/22/0.5	20/22/0.5	20/22/0.5	20/22/0.5	20/22/0.5	20/22/0.5	20/22/0.5	20/22/0.5	20/22/0.5	20/22/0.5	20/22/0.5	20/22/0.5	20/22/0.5	21/22/0.5	21/22/0.5	20/22/0.5	20/22/0.5	22/20/0.5	20/20/0.5	21/22/0.5	21/22/0.5	21/22/0.5	21/22/0.5	20/22/0.5
LOC_2	23/13/0.5	24/13/0.5	23/13/0.5	23/13/0.5	23/13/0.5	23/13/0.5	23/13/0.5	23/13/0.5	23/13/0.5	23/13/0.5	23/13/0.5	23/13/0.5	23/13/0.5	23/13/0.5	23/13/0.5	23/13/0.5	23/13/0.5	23/13/0.5	23/13/0.5	23/13/0.5	23/13/0.5	23/13/0.5	23/13/0.5	23/13/0.5	23/13/0.5
LOC_3	16/18/0.5	16/18/0.5	16/18/0.5	16/18/0.5	16/18/0.5	16/18/0.5	16/18/0.5	16/18/0.5	16/18/0.5	16/18/0.5	16/18/0.5	16/18/0.5	16/18/0.5	16/18/0.5	16/18/0.5	16/18/0.5	16/18/0.5	16/18/0.5	16/18/0.5	16/18/0.5	16/18/0.5	16/18/0.5	16/18/0.5	16/18/0.5	16/18/0.5
LOC_4	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5
LOC_5	17/18/0.5	17/17/0.5	17/18/0.5	17/18/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/18/0.5	17/18/0.5	17/16/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5	17/17/0.5
LOC_6	28/7/0.5	28/7/0.5	27/7/0.5	27/7/0.5	28/7/0.5	28/7/0.5	28/7/0.5	28/7/0.5	28/7/0.5	28/7/0.5	28/7/0.5	28/7/0.5	28/7/0.5	27/7/0.5	28/7/0.5	28/7/0.5	27/7/0.5	27/7/0.5	28/7/0.5	28/7/0.5	28/7/0.5	28/7/0.5	28/7/0.5	27/7/0.5	27/7/0.5
LOC_7	21/17/0.5	19/17/0.5	21/17/0.5	21/17/0.5	19/17/0.5	19/17/0.5	19/17/0.5	21/17/0.5	21/17/0.5	19/17/0.5	18/17/0.5	19/17/0.5	19/17/0.5	19/17/0.5	19/17/0.5	19/17/0.5	19/17/0.5	19/17/0.5	19/17/0.5	19/17/0.5	19/19/0.5	19/19/0.5	19/19/0.5	19/19/0.5	19/17/0.5
LOC_8	18/20/0.5	18/20/0.5	18/20/0.5	18/20/0.5	18/20/0.5	18/20/0.5	18/20/0.5	18/20/0.5	18/20/0.5	18/20/0.5	18/20/0.5	18/21/0.5	18/20/0.5	18/20/0.5	18/20/0.5	18/20/0.5	18/20/0.5	18/20/0.5	18/20/0.5	18/20/0.5	18/20/0.5	18/20/0.5	18/20/0.5	18/20/0.5	18/20/0.5
LOC_9	7/23/0.5	7/23/0.5	7/23/0.5	7/23/0.5	7/23/0.5	7/23/0.5	7/23/0.5	7/23/0.5	7/23/0.5	7/23/0.5	7/23/0.5	7/23/0.5	7/23/0.5	7/23/0.5	7/23/0.5	7/23/0.5	7/23/0.5	7/23/0.5	7/23/0.5	7/24/0.5	7/23/0.5	7/23/0.5	7/23/0.5	7/23/0.5	7/23/0.5
LOC_10	13/7/0.5	13/7/0.5	13/7/0.5	12/7/0.5	13/7/0.5	13/7/0.5	13/7/0.5	13/7/0.5	13/7/0.5	13/7/0.5	13/7/0.5	13/7/0.5	13/7/0.5	13/7/0.5	14/7/0.5	13/7/0.5	13/7/0.5	13/7/0.5	13/7/0.5	13/7/0.5	13/7/0.5	13/7/0.5	13/7/0.5	13/7/0.5	13/7/0.5
