names	Run1_C_8	Run1_C_9	Run1_C_10	Run1_C_11	Run1_C_12	Run1_C_14	Run1_C_15	Run1_C_16	Run1_C_17	root
LOC_1	19	19	18	19	20	20	18	20	20	19
LOC_2	19	19	20	21	22	23	24	23	22	20
LOC_3	8	7	7	7	7	7	9	7	7	7
LOC_4	8	7	7	7	8	8	8	7	7	7
LOC_5	8	8	8	8	6	6	6	6	6	7
LOC_6	16	16	16	16	15	15	15	16	15	16
LOC_7	13	13	13	13	13	13	13	13	13	13
LOC_8	22	22	22	21	21	20	20	22	23	22
LOC_9	17	15	15	14	15	15	14	14	13	15
LOC_10	17	17	20	16	17	18	18	17	17	17
LOC_11	22	22	22	23	28	25	26	26	24	23
LOC_12	18	18	18	18	17	17	17	17	17	17
LOC_13	17	18	18	19	17	16	17	18	18	17
LOC_14	19	18	20	18	18	18	17	17	18	18
LOC_15	27	28	22	23	23	23	23	26	26	27
LOC_16	14	14	14	14	14	14	14	14	14	14
LOC_17	14	14	15	15	15	15	15	16	16	15
LOC_18	23	23	21	23	24	24	24	22	24	23
LOC_19	23	22	25	23	22	21	21	22	22	22
LOC_20	15	16	16	16	15	15	15	15	15	15
LOC_21	13	12	11	11	13	13	13	13	13	13
LOC_22	21	21	21	21	20	20	21	18	20	21
LOC_23	15	15	14	15	16	17	16	16	16	16
LOC_24	26	26	25	24	25	24	25	23	23	23
LOC_25	22	22	25	25	22	22	21	22	22	22
LOC_26	9	9	15	15	15	15	15	16	16	15
LOC_27	18	17	17	17	17	17	17	17	17	17
LOC_28	23	21	21	21	20	23	20	21	21	21
LOC_29	25	24	24	24	24	25	23	27	27	25
LOC_30	25	25	23	22	19	19	20	19	19	19
LOC_31	26	26	26	29	27	25	25	27	26	26
LOC_32	20	20	19	21	18	20	20	20	20	20
LOC_33	15	15	15	15	17	16	17	16	16	15
LOC_34	14	14	14	14	14	14	14	13	15	14
LOC_35	20	20	20	21	23	24	22	20	20	19
LOC_36	20	20	20	20	20	20	20	20	20	20
LOC_37	21	25	21	23	21	19	20	21	21	21
LOC_38	16	16	16	16	16	16	15	16	16	16
LOC_39	20	20	19	20	20	20	19	20	20	20
LOC_40	18	14	14	14	14	15	15	15	14	14
LOC_41	22	22	22	22	22	21	23	21	22	21
LOC_42	22	21	21	21	22	20	20	22	21	21
LOC_43	19	18	17	18	20	18	18	18	18	18
LOC_44	18	18	19	19	18	19	17	18	19	18
LOC_45	18	18	19	19	18	18	18	18	18	18
LOC_46	22	22	21	21	20	20	20	21	23	20
LOC_47	15	14	15	15	13	19	14	15	15	15
LOC_48	17	17	17	17	16	16	16	18	19	17
LOC_49	15	15	15	15	17	17	17	18	18	15
LOC_50	15	15	15	15	16	16	16	18	17	16
LOC_51	22	21	21	23	20	19	19	20	20	20
LOC_52	18	18	18	17	18	16	17	18	20	19
LOC_53	26	24	25	24	23	23	23	22	22	23
LOC_54	19	19	20	19	21	21	21	20	21	20
LOC_55	21	22	20	19	19	19	19	19	19	20
LOC_56	19	21	19	20	17	16	16	19	19	19
LOC_57	21	22	22	22	22	22	22	22	22	23
LOC_58	21	21	21	21	22	22	22	24	22	21
LOC_59	9	9	9	9	9	9	9	9	9	9
LOC_60	20	20	21	20	21	21	21	22	22	20
LOC_61	21	19	22	23	28	27	26	26	27	24
LOC_62	18	18	18	18	20	20	20	20	20	18
LOC_63	17	17	17	17	19	19	19	18	19	17
LOC_64	13	13	13	13	16	17	17	16	16	17
LOC_65	17	17	17	17	17	17	16	17	19	17
LOC_66	19	20	20	20	20	22	23	21	21	21
LOC_67	22	22	22	22	21	19	19	21	20	22
LOC_68	18	17	17	18	16	16	16	16	16	16
