names	Run1_C_5	Run1_C_7	Run1_C_8	Run1_C_9	Run1_C_10	Run1_C_11	root
LOC_1	19	19	19	19	19	19	19
LOC_2	21	19	22	21	22	21	20
LOC_3	7	7	7	7	7	7	7
LOC_4	7	7	7	7	7	7	7
LOC_5	7	7	7	8	7	7	7
LOC_6	18	15	19	19	16	16	16
LOC_7	13	13	13	13	13	14	13
LOC_8	19	21	21	20	21	22	22
LOC_9	15	16	15	16	15	15	15
LOC_10	17	17	17	17	19	19	17
LOC_11	23	23	23	23	24	24	23
LOC_12	17	18	17	17	18	18	17
LOC_13	17	17	16	17	18	18	17
LOC_14	18	18	18	19	17	17	18
LOC_15	25	27	27	29	26	26	27
LOC_16	14	14	14	14	14	14	14
LOC_17	15	17	15	15	15	15	15
LOC_18	24	23	24	24	24	23	23
LOC_19	20	23	21	21	23	23	22
LOC_20	14	15	14	14	15	15	15
LOC_21	14	13	14	14	12	13	13
LOC_22	21	20	19	19	20	20	21
LOC_23	16	16	16	16	17	17	16
LOC_24	22	23	23	23	21	22	23
LOC_25	22	22	22	22	21	22	22
LOC_26	15	15	15	15	15	15	15
LOC_27	17	17	16	16	18	18	17
LOC_28	22	22	22	23	22	22	21
LOC_29	21	25	24	24	27	26	25
LOC_30	19	18	19	19	16	17	19
LOC_31	24	28	25	26	26	28	26
LOC_32	19	20	20	20	21	21	20
LOC_33	15	15	15	15	15	15	15
LOC_34	15	14	15	15	14	14	14
LOC_35	21	18	20	20	18	18	19
LOC_36	21	21	21	21	19	18	20
LOC_37	20	20	20	20	21	21	21
LOC_38	16	16	16	16	16	16	16
LOC_39	20	19	20	20	20	19	20
LOC_40	15	15	15	15	13	13	14
LOC_41	19	21	20	20	22	21	21
LOC_42	20	21	21	21	22	21	21
LOC_43	21	18	18	18	18	18	18
LOC_44	19	15	19	18	18	18	18
LOC_45	18	18	18	19	19	19	18
LOC_46	20	20	20	20	20	22	20
LOC_47	15	14	15	15	14	14	15
LOC_48	17	17	16	17	17	16	17
LOC_49	15	15	15	15	15	15	15
LOC_50	15	16	17	17	16	16	16
LOC_51	20	21	20	20	21	21	20
LOC_52	19	19	19	21	18	19	19
LOC_53	23	23	23	23	22	20	23
LOC_54	20	20	19	19	20	19	20
LOC_55	20	20	20	20	19	19	20
LOC_56	19	19	19	19	18	19	19
LOC_57	23	22	23	25	22	23	23
LOC_58	21	21	22	21	21	21	21
LOC_59	9	9	9	9	11	11	9
LOC_60	20	21	20	20	21	21	20
LOC_61	24	24	24	25	24	24	24
LOC_62	19	18	19	20	17	18	18
LOC_63	17	20	17	17	20	20	17
LOC_64	18	18	18	18	18	18	17
LOC_65	17	17	17	17	17	17	17
LOC_66	21	21	19	18	22	20	21
LOC_67	25	22	24	22	23	23	22
LOC_68	16	16	16	16	17	16	16
LOC_69	21	22	21	21	20	20	21
LOC_70	24	24	24	26	22	20	23
LOC_71	16	15	17	18	15	17	16
LOC_72	22	20	23	22	20	21	20
LOC_73	19	19	23	19	19	20	19
LOC_74	22	22	22	22	23	22	22
LOC_75	27	23	26	26	19	19	23
LOC_76	22	25	23	22	23	24	21
LOC_77	16	14	13	13	14	14	14
LOC_78	22	22	21	21	21	22	22
LOC_79	15	17	15	15	15	15	15
LOC_80	25	23	22	22	23	23	24
LOC_81	16	16	16	16	16	16	16
LOC_82	22	22	22	21	22	22	20
LOC_83	18	18	18	19	18	18	18
LOC_84	15	16	15	17	16	16	16
LOC_85	21	21	21	19	21	21	21
LOC_86	16	17	16	16	17	17	16
LOC_87	20	19	20	20	20	19	20
LOC_88	25	23	24	24	23	22	22
LOC_89	26	27	28	28	28	28	26
LOC_90	20	19	20	20	20	19	20
LOC_91	17	17	17	17	19	17	17
LOC_92	19	19	21	21	19	18	19
LOC_93	12	12	11	11	15	15	12
LOC_94	15	15	15	15	15	16	15
LOC_95	14	13	13	13	13	14	13
LOC_96	20	21	19	20	21	21	20
LOC_97	20	20	20	20	20	20	20
LOC_98	15	15	15	15	15	15	15
LOC_99	18	17	17	17	16	16	16
LOC_100	14	14	14	14	14	14	14
