names	Run1_C_8	Run1_C_34	Run1_C_42	Run1_C_47	Run1_C_48	Run1_C_50	Run1_C_51	Run1_C_54	Run1_C_57	Run1_C_60	Run1_C_61	Run1_C_65	Run1_C_69	Run1_C_70	Run1_C_76	Run1_C_78	Run1_C_80	Run1_C_84	Run1_C_88	Run1_C_92	Run1_C_93	Run1_C_94	Run1_C_96	Run1_C_97	Run1_C_98	Run1_C_100	Run1_C_101	Run1_C_102	Run1_C_103	Run1_C_110	Run1_C_111	Run1_C_112	Run1_C_117	Run1_C_118	Run1_C_119	Run1_C_121	Run1_C_123	Run1_C_124	Run1_C_128	Run1_C_130	Run1_C_131	Run1_C_132	Run1_C_133	Run1_C_135	Run1_C_136	Run1_C_137	Run1_C_138	Run1_C_139	Run1_C_140	Run1_C_141	Run1_C_143	Run1_C_144	Run1_C_145	Run1_C_146	Run1_C_147	Run1_C_149	Run1_C_152	Run1_C_154	Run1_C_155	Run1_C_156	Run1_C_157	Run1_C_158	Run1_C_159	Run1_C_160	Run1_C_161	Run1_C_162	Run1_C_163	Run1_C_164	Run1_C_165	Run1_C_166	Run1_C_167	Run1_C_168	Run1_C_169	Run1_C_170	Run1_C_173	Run1_C_174	Run1_C_175	Run1_C_176	Run1_C_177	Run1_C_178	Run1_C_179	Run1_C_180	Run1_C_181	Run1_C_182	Run1_C_183	Run1_C_184	Run1_C_185	Run1_C_186	Run1_C_187	Run1_C_188	Run1_C_189	Run1_C_190	Run1_C_191	Run1_C_192	Run1_C_194	Run1_C_195	Run1_C_196	Run1_C_197	Run1_C_198	Run1_C_199	root
LOC_1	19	19	19	NaN	19	NaN	NaN	19	NaN	NaN	19	19	19	19	NaN	19	19	NaN	19	19	19	NaN	19	NaN	NaN	NaN	19	19	19	19	19	NaN	19	19	19	NaN	NaN	19	NaN	NaN	19	NaN	NaN	19	NaN	19	NaN	19	19	NaN	NaN	19	19	NaN	19	19	19	19	NaN	NaN	19	19	19	19	NaN	19	NaN	19	19	NaN	NaN	NaN	19	NaN	NaN	19	19	NaN	NaN	NaN	19	19	19	19	19	19	19	19	NaN	19	19	19	19	19	NaN	19	NaN	19	NaN	19	19
LOC_2	20	20	NaN	20	NaN	20	20	20	NaN	20	NaN	20	20	NaN	NaN	20	NaN	20	20	20	20	NaN	20	NaN	20	20	20	20	20	20	NaN	NaN	20	20	20	20	20	NaN	NaN	20	20	20	NaN	NaN	NaN	20	NaN	20	21	21	21	NaN	NaN	NaN	20	20	NaN	20	20	20	NaN	20	20	NaN	NaN	20	NaN	NaN	20	20	NaN	20	20	20	20	NaN	20	19	NaN	NaN	NaN	21	21	NaN	20	NaN	19	NaN	20	20	20	20	20	20	20	20	20	19	20	NaN	NaN
LOC_3	7	7	7	7	7	7	7	7	7	NaN	NaN	7	7	NaN	7	7	7	7	7	7	7	NaN	7	NaN	7	7	7	NaN	NaN	7	7	NaN	7	NaN	7	NaN	8	7	NaN	7	7	NaN	7	7	7	7	NaN	7	7	7	7	7	7	7	7	7	7	7	NaN	7	NaN	NaN	NaN	7	7	7	7	NaN	7	7	NaN	8	8	NaN	7	7	NaN	7	NaN	7	7	NaN	NaN	NaN	NaN	NaN	7	NaN	7	NaN	7	NaN	7	NaN	7	NaN	7	NaN	NaN	NaN	NaN
LOC_4	7	7	7	7	7	7	7	7	7	7	7	7	7	7	NaN	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	6	7	NaN	7	7	7	7	7	7	7	7	7	7	7	7	NaN	7	7	NaN	7	7	7	7	7	NaN	8	7	7	7	7	7	8	7	7	7	7	7	8	8	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	7	7	7	7	7
LOC_5	7	NaN	7	NaN	7	NaN	7	7	7	7	NaN	7	NaN	7	7	NaN	7	7	7	7	7	NaN	7	NaN	NaN	7	NaN	NaN	NaN	7	NaN	9	7	7	NaN	NaN	7	NaN	7	NaN	7	NaN	6	7	7	NaN	7	7	7	NaN	7	7	7	NaN	7	7	NaN	NaN	7	7	NaN	NaN	7	9	9	7	7	7	7	NaN	6	7	NaN	7	NaN	NaN	7	NaN	NaN	7	7	NaN	7	7	NaN	NaN	7	NaN	7	NaN	8	NaN	7	7	NaN	NaN	NaN	7	NaN	7	NaN
LOC_6	NaN	NaN	NaN	NaN	NaN	16	16	NaN	17	17	NaN	16	NaN	16	17	NaN	17	NaN	16	17	NaN	NaN	16	16	NaN	NaN	18	NaN	16	16	16	NaN	NaN	17	17	NaN	NaN	NaN	16	NaN	16	16	NaN	NaN	17	17	16	16	16	16	NaN	16	16	16	16	16	NaN	NaN	NaN	NaN	16	16	16	NaN	17	NaN	NaN	NaN	NaN	17	NaN	NaN	17	17	NaN	17	NaN	NaN	16	NaN	NaN	15	15	NaN	NaN	17	NaN	16	NaN	16	16	16	NaN	17	NaN	17	NaN	NaN	16	16	NaN
LOC_7	NaN	13	13	15	13	NaN	NaN	NaN	NaN	13	NaN	13	NaN	13	NaN	13	13	13	13	13	NaN	NaN	13	NaN	13	NaN	NaN	NaN	13	NaN	NaN	13	13	13	13	NaN	12	NaN	NaN	NaN	NaN	NaN	15	15	13	NaN	NaN	13	13	NaN	NaN	15	NaN	13	13	13	NaN	NaN	13	NaN	NaN	NaN	NaN	NaN	13	NaN	NaN	NaN	13	13	13	NaN	NaN	NaN	13	NaN	NaN	13	13	NaN	13	NaN	13	NaN	NaN	13	13	13	13	NaN	13	13	13	16	NaN	13	NaN	NaN	NaN	15	13
LOC_8	NaN	20	22	20	22	NaN	22	22	22	22	22	20	22	20	NaN	22	NaN	20	20	22	22	NaN	NaN	20	20	20	20	20	NaN	20	20	22	22	22	22	22	22	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	22	22	20	NaN	22	22	NaN	NaN	20	20	NaN	22	22	22	20	20	22	22	22	22	22	20	NaN	22	20	20	22	22	20	20	20	20	20	20	20	20	20	20	20	20	22	22	22	22	22	20	20	22
LOC_9	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	NaN	15	15	15	15	15	15	NaN	15	15	NaN	15	15	15	15	15	15	15	15	15	15	15	15	NaN	15	15	15	15	15	15	15	15	15	NaN	15	15	NaN	15	15	15	15	NaN	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	16	15	15	15	15	15	15	15	15	15	15	15	13	13	15
LOC_10	NaN	17	NaN	17	NaN	17	NaN	17	NaN	NaN	17	17	17	NaN	17	17	17	NaN	17	17	NaN	NaN	17	17	NaN	19	19	17	NaN	17	17	17	17	NaN	NaN	NaN	NaN	18	17	17	17	17	17	17	NaN	17	NaN	NaN	17	NaN	17	NaN	17	17	17	17	17	17	17	NaN	NaN	17	17	NaN	NaN	17	17	17	17	17	NaN	17	17	17	18	16	16	NaN	NaN	NaN	NaN	NaN	NaN	17	18	17	NaN	17	NaN	18	NaN	17	17	NaN	17	17	16	16	17	17	NaN
LOC_11	23	23	23	23	23	23	23	NaN	23	24	24	23	23	23	NaN	23	23	22	23	23	23	23	23	23	23	23	26	23	23	23	23	23	23	23	23	NaN	NaN	23	23	23	23	NaN	23	23	23	23	NaN	23	23	NaN	23	23	23	23	23	23	NaN	NaN	24	24	24	23	23	23	NaN	23	23	23	23	26	26	24	24	23	23	NaN	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	22	22	22	23	23	22	23	NaN
LOC_12	NaN	17	17	17	17	17	17	17	NaN	17	17	NaN	NaN	17	NaN	NaN	17	17	17	NaN	17	17	17	17	17	17	17	17	17	17	17	NaN	17	17	17	NaN	17	17	NaN	17	17	NaN	NaN	17	17	NaN	NaN	NaN	17	NaN	17	NaN	17	17	17	17	NaN	NaN	17	17	NaN	17	17	NaN	NaN	NaN	NaN	17	NaN	17	17	17	17	NaN	17	NaN	17	17	17	17	18	NaN	17	17	NaN	17	17	17	NaN	17	17	17	17	17	17	NaN	17	17	17	NaN	17
LOC_13	17	17	NaN	17	17	17	NaN	17	17	NaN	17	16	NaN	16	17	17	NaN	NaN	17	17	NaN	18	19	NaN	NaN	16	NaN	NaN	NaN	16	16	17	NaN	17	NaN	NaN	NaN	NaN	17	17	NaN	NaN	NaN	17	NaN	NaN	NaN	NaN	17	NaN	NaN	17	NaN	17	17	16	16	17	NaN	NaN	NaN	17	NaN	17	NaN	NaN	17	NaN	NaN	17	17	17	NaN	17	NaN	18	18	16	16	NaN	NaN	17	17	17	17	NaN	16	17	17	16	NaN	NaN	17	NaN	NaN	17	NaN	18	NaN	NaN	NaN
LOC_14	18	18	18	18	18	18	18	18	18	18	18	19	18	19	18	18	18	19	20	18	18	18	20	20	20	19	19	19	NaN	19	NaN	18	18	NaN	18	18	18	20	18	18	18	18	18	18	19	19	20	20	18	18	18	18	18	18	18	19	19	NaN	18	18	18	18	18	18	18	18	18	19	19	18	18	18	18	18	NaN	18	18	19	19	18	18	18	18	18	18	19	19	18	18	19	19	18	18	18	18	18	18	18	18	18	18
